name,region,party,turnout,total,LIB,CON,NDP,BQ,GRN,PPC,IND
Lac-Saint-Louis,QC,LIB,0.716,59525,34622,9083,7263,3169,4176,805,
LaSalle—Émard—Verdun,QC,LIB,0.647,52391,22803,3690,8628,12619,3583,490,274
Laurentides—Labelle,QC,BQ,0.662,65406,21655,4983,4122,30625,3157,418,174
Laurier—Sainte-Marie,QC,LIB,0.654,53409,22306,1502,13453,12188,3225,320,42
Laval—Les Îles,QC,LIB,0.658,53961,26031,8816,4803,11120,2306,885,
Lévis—Lotbinière,QC,CON,0.724,63489,10761,28297,4355,15921,1908,2247,
Longueuil—Charles-LeMoyne,QC,LIB,0.628,51544,20114,3811,5289,18794,2978,558,
Longueuil—Saint-Hubert,QC,BQ,0.699,59844,20471,3779,5104,23061,6745,467,217
Louis-Hébert,QC,LIB,0.766,62060,25140,10912,4884,17375,2466,1016,267
Louis-Saint-Laurent,QC,CON,0.707,65561,13571,29279,4339,14674,2155,1543,
Manicouagan,QC,BQ,0.538,40390,7793,7771,1482,21768,1293,283,
Marc-Aurèle-Fortin,QC,LIB,0.724,55817,24865,5423,4741,18069,2111,465,143
Mégantic—L'Érable,QC,CON,0.685,47508,7388,23392,1936,12249,1258,812,217
Mirabel,QC,BQ,0.687,65030,16162,5940,5219,33219,3517,641,
Montarville,QC,BQ,0.778,59228,21061,4138,4984,25366,2967,501,
Montcalm,QC,BQ,0.634,54806,11200,4942,3514,31791,2416,524,
Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,QC,CON,0.657,50388,8210,20989,3481,16261,1030,417,
Mount Royal,QC,LIB,0.605,43679,24590,10887,3609,1757,2389,362,
Notre-Dame-de-Grâce—Westmount,QC,LIB,0.664,50321,28323,5759,7753,2359,5397,565,98
Outremont,QC,LIB,0.622,41457,19148,2707,8319,5741,5018,369,
Papineau,QC,LIB,0.655,50781,25957,2155,9748,8124,3741,322,185
Pierre-Boucher—Les Patriotes—Verchères,QC,BQ,0.763,60783,17333,4910,4192,31009,2955,384,
Pierrefonds—Dollard,QC,LIB,0.674,55471,31305,9797,5687,4469,2866,711,636
Pontiac,QC,LIB,0.682,61847,30217,10416,6503,9929,3762,775,
Portneuf—Jacques-Cartier,QC,CON,0.709,64674,12876,28110,3758,15707,2308,1915,
Québec,QC,LIB,0.7,54198,18047,8118,6220,17722,2949,674,
Repentigny,QC,BQ,0.722,65456,18111,4878,4470,34837,2289,524,
Richmond—Arthabaska,QC,CON,0.688,58638,8868,26553,2864,16539,3133,681,
Rimouski-Neigette—Témiscouata—Les Basques,QC,BQ,0.665,45767,10095,4073,13050,17314,824,232,
Rivière-des-Mille-Îles,QC,BQ,0.721,58184,21009,4684,5002,23629,3015,845,
Rivière-du-Nord,QC,BQ,0.64,60101,13402,7120,4194,31281,3345,407,127
Rosemont—La Petite-Patrie,QC,NDP,0.714,60206,14576,1405,25575,14306,3539,293,
Saint-Hyacinthe—Bagot,QC,BQ,0.701,55914,11903,8062,10297,23143,2031,478,
Saint-Jean,QC,BQ,0.693,61875,18906,6612,4794,27750,3127,397,
Saint-Laurent,QC,LIB,0.6,40147,23527,7005,4065,2845,2150,484,
Saint-Léonard—Saint-Michel,QC,LIB,0.604,45434,27866,5423,2964,4351,1183,501,3061
Saint-Maurice—Champlain,QC,LIB,0.652,58414,23104,9542,3071,19950,1809,938,
Salaberry—Suroît,QC,BQ,0.67,62903,18682,6116,5024,29975,1997,767,
Shefford,QC,BQ,0.684,60913,22605,7495,3705,23503,2814,497,
Sherbrooke,QC,LIB,0.683,59726,17490,6362,16881,15470,2716,,588
Terrebonne,QC,BQ,0.705,61335,17944,4640,4627,31029,2277,399,159
Thérèse-De Blainville,QC,BQ,0.721,58549,20988,5264,4431,24486,2710,366,89
Trois-Rivières,QC,BQ,0.667,60538,15774,15240,10090,17240,1492,565,137
Vaudreuil—Soulanges,QC,LIB,0.724,68142,32254,7804,7368,16600,3405,711,
Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,QC,LIB,0.603,52522,28087,4609,8274,6899,3718,520,230
Vimy,QC,LIB,0.643,55533,26490,5951,4779,15455,2125,733,
Battlefords—Lloydminster,SK,CON,0.707,35821,2426,28030,4098,,605,662,
Carlton Trail—Eagle Creek,SK,CON,0.785,44949,2085,35313,5535,,873,799,344
